elevation,location
65.09112549,"(42.81969163497759, -73.94711316156622)"
64.86804962,"(42.81970143091637, -73.9471204313142)"
64.66267395,"(42.81971122685469, -73.94712770106452)"
64.4758606,"(42.81972102279254, -73.94713497081716)"
64.32129669,"(42.81973081872995, -73.94714224057202)"
64.23155975,"(42.81974061466689, -73.94714951032927)"
64.15258026,"(42.81975041060338, -73.94715678008879)"
64.08435822,"(42.81976020653939, -73.94716404985058)"
64.02689362,"(42.81977000247495, -73.94717131961471)"
64.01300049,"(42.81977979841005, -73.94717858938117)"
64.00786591,"(42.8197895943447, -73.9471858591499)"
64.00399017,"(42.81979939027888, -73.94719312892096)"
64.00138855,"(42.81980918621262, -73.94720039869429)"
64.00030518,"(42.81981898214588, -73.9472076684699)"
64.00000763,"(42.81982877807867, -73.9472149382479)"
64,"(42.81983857401102, -73.94722220802817)"
64,"(42.8198483699429, -73.94722947781065)"
64,"(42.81985816587432, -73.94723674759553)"
64,"(42.81986796180528, -73.94724401738273)"
64,"(42.81987775773578, -73.94725128717221)"
64,"(42.81988755366583, -73.94725855696396)"
64,"(42.81989734959542, -73.94726582675804)"
64,"(42.81990714552454, -73.9472730965544)"
64,"(42.8199169414532, -73.94728036635308)"
64,"(42.81992673738141, -73.9472876361541)"
64,"(42.81993653330915, -73.94729490595739)"
64,"(42.81994632923644, -73.94730217576296)"
64,"(42.81995612516325, -73.94730944557085)"
64,"(42.81996592108962, -73.94731671538102)"
64,"(42.81997571701553, -73.94732398519358)"
64,"(42.81998551294097, -73.94733125500835)"
64,"(42.81999530886596, -73.94733852482545)"
64,"(42.82000510479048, -73.94734579464489)"
64,"(42.82001490071454, -73.9473530644666)"
64,"(42.82002469663816, -73.94736033429064)"
64,"(42.82003449256129, -73.94736760411695)"
64,"(42.82004428848399, -73.94737487394559)"
64,"(42.82005408440621, -73.94738214377651)"
64,"(42.82006388032797, -73.94738941360976)"
64,"(42.82007367624929, -73.94739668344528)"
64,"(42.82008347217013, -73.94740395328313)"
64,"(42.82009326809052, -73.94741122312325)"
64,"(42.82010306401045, -73.94741849296571)"
64,"(42.82011285992991, -73.94742576281044)"
64,"(42.82012265584891, -73.9474330326575)"
64,"(42.82013245176746, -73.94744030250689)"
64,"(42.82014224768555, -73.94744757235856)"
64,"(42.82015204360318, -73.94745484221255)"
64,"(42.82016183952035, -73.94746211206882)"
64,"(42.82017163543705, -73.94746938192736)"
64,"(42.82018143135329, -73.94747665178824)"
64,"(42.82019122726908, -73.94748392165138)"
64,"(42.82020102318442, -73.94749119151692)"
64,"(42.82021081909928, -73.94749846138473)"
64,"(42.82022061501369, -73.94750573125481)"
64,"(42.82023041092764, -73.94751300112716)"
64,"(42.82024020684113, -73.94752027100185)"
64,"(42.82025000275416, -73.94752754087887)"
64,"(42.82025979866672, -73.94753481075816)"
64,"(42.82026959457882, -73.94754208063978)"
64,"(42.82027939049048, -73.94754935052373)"
64,"(42.82028918640167, -73.94755662040996)"
64,"(42.82029898231239, -73.94756389029845)"
64,"(42.82030877822267, -73.94757116018928)"
64,"(42.82031857413247, -73.94757843008239)"
64,"(42.82032837004183, -73.94758569997782)"
64,"(42.82033816595071, -73.94759296987559)"
64,"(42.82034796185914, -73.94760023977562)"
64,"(42.82035775776711, -73.94760750967794)"
64,"(42.82036755367463, -73.94761477958258)"
64,"(42.82037734958167, -73.94762204948955)"
64,"(42.82038714548826, -73.9476293193988)"
64,"(42.82039694139439, -73.94763658931038)"
64,"(42.82040673730006, -73.94764385922423)"
64,"(42.82041653320528, -73.94765112914035)"
64,"(42.82042632911003, -73.94765839905887)"
64,"(42.82043612501432, -73.9476656689796)"
64,"(42.82044592091815, -73.94767293890271)"
64,"(42.82045571682152, -73.94768020882805)"
64,"(42.82046551272443, -73.94768747875577)"
64,"(42.82047530862688, -73.94769474868576)"
64,"(42.82048510452886, -73.94770201861803)"
64,"(42.8204949004304, -73.94770928855263)"
64,"(42.82050469633148, -73.9477165584895)"
64,"(42.82051449223208, -73.9477238284287)"
64,"(42.82052428813224, -73.94773109837024)"
64,"(42.82053408403192, -73.94773836831405)"
64,"(42.82054387993116, -73.94774563826013)"
64,"(42.82055367582993, -73.94775290820854)"
64,"(42.82056347172825, -73.94776017815923)"
64,"(42.82057326762609, -73.9477674481123)"
64,"(42.82058306352349, -73.94777471806759)"
64,"(42.82059285942042, -73.94778198802521)"
64,"(42.82060265531688, -73.94778925798516)"
64,"(42.8206124512129, -73.94779652794739)"
64,"(42.82062224710845, -73.94780379791194)"
64,"(42.82063204300355, -73.94781106787877)"
64,"(42.82064183889818, -73.94781833784793)"
64,"(42.82065163479236, -73.94782560781937)"
64,"(42.82066143068606, -73.94783287779313)"
64,"(42.82067122657931, -73.94784014776917)"
64,"(42.82068102247212, -73.94784741774754)"
64,"(42.82069081836444, -73.94785468772824)"
64,"(42.82070061425632, -73.94786195771121)"
64,"(42.82071041014774, -73.94786922769646)"
64,"(42.82072020603869, -73.94787649768404)"
64,"(42.82073000192918, -73.94788376767394)"
64,"(42.82073979781922, -73.94789103766607)"
64,"(42.82074959370879, -73.94789830766058)"
64,"(42.8207593895979, -73.94790557765737)"
64,"(42.82076918548656, -73.94791284765648)"
64,"(42.82077898137475, -73.94792011765787)"
64,"(42.82078877726249, -73.9479273876616)"
64,"(42.82079857314977, -73.94793465766759)"
64,"(42.82080836903658, -73.94794192767586)"
64,"(42.82081816492293, -73.94794919768651)"
64,"(42.82082796080883, -73.94795646769944)"
64,"(42.82083775669427, -73.94796373771464)"
64,"(42.82084755257924, -73.94797100773212)"
64,"(42.82085734846375, -73.94797827775199)"
64,"(42.82086714434781, -73.94798554777412)"
64,"(42.82087694023141, -73.94799281779854)"
64,"(42.82088673611454, -73.94800008782528)"
64,"(42.82089653199721, -73.94800735785435)"
64,"(42.82090632787943, -73.9480146278857)"
64,"(42.82091612376118, -73.94802189791932)"
64,"(42.82092591964248, -73.94802916795527)"
64,"(42.82093571552332, -73.94803643799355)"
64,"(42.82094551140369, -73.9480437080341)"
64,"(42.82095530728361, -73.94805097807694)"
64,"(42.82096510316307, -73.94805824812215)"
64.03414917,"(42.82097489904206, -73.94806551816964)"
64.30305481,"(42.8209846949206, -73.9480727882194)"
64.68576813,"(42.82099449079867, -73.94808005827144)"
65.18430328,"(42.8210042866763, -73.94808732832587)"
65.79705811,"(42.82101408255345, -73.94809459838251)"
66.72302246,"(42.82102387843015, -73.94810186844154)"
67.81459045,"(42.82103367430638, -73.94810913850279)"
69.01257324,"(42.82104347018216, -73.94811640856642)"
70.34059143,"(42.82105326605748, -73.94812367863233)"
71.92037964,"(42.82106306193234, -73.94813094870051)"
73.66033173,"(42.82107285780673, -73.94813821877102)"
75.25406647,"(42.82108265368068, -73.9481454888438)"
76.7015686,"(42.82109244955415, -73.94815275891892)"
77.98477936,"(42.82110224542717, -73.94816002899637)"
78.43926239,"(42.82111204129972, -73.94816729907609)"
78.7798233,"(42.82112183717182, -73.94817456915814)"
79.0064621,"(42.82113163304346, -73.94818183924247)"
79.11917114,"(42.82114142891464, -73.94818910932906)"
78.83094788,"(42.82115122478535, -73.948196379418)"
78.35510254,"(42.82116102065561, -73.94820364950925)"
77.88648987,"(42.82117081652541, -73.94821091960279)"
77.42087555,"(42.82118061239475, -73.94821818969865)"
76.96012878,"(42.82119040826363, -73.94822545979679)"
76.51333618,"(42.82120020413205, -73.94823272989726)"
76.07806396,"(42.82121, -73.94824)"
